v8-version,6,2,414,54,0
code-creation,Stub,3,4461,0xe240ac22c00,3146,"SubStringStub"
code-creation,Stub,3,4461,0xe240ac238c0,269,"CEntryStub"
code-creation,Stub,3,4462,0xe240ac23a40,2106,"RecordWriteStub"
code-creation,Stub,3,4463,0xe240ac242e0,2103,"RecordWriteStub"
code-creation,Stub,3,4464,0xe240ac24b80,2110,"RecordWriteStub"
code-creation,Stub,3,4464,0xe240ac25420,882,"RecordWriteStub"
code-creation,Stub,3,4465,0xe240ac25800,2084,"RecordWriteStub"
code-creation,Stub,3,4466,0xe240ac260a0,2072,"RecordWriteStub"
code-creation,Stub,3,4467,0xe240ac26920,2106,"RecordWriteStub"
code-creation,Stub,3,4467,0xe240ac271c0,2126,"RecordWriteStub"
code-creation,Stub,3,4468,0xe240ac27a80,2113,"RecordWriteStub"
code-creation,Stub,3,4469,0xe240ac28340,463,"StringAddStub"
code-creation,Builtin,5,4470,0xe240ac28580,190,"NonPrimitiveToPrimitive_Default"
code-creation,Builtin,5,4471,0xe240ac286a0,123,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4471,0xe240ac28780,260,"OrdinaryToPrimitive_Number"
code-creation,Stub,3,4472,0xe240ac28900,2117,"RecordWriteStub"
code-creation,Stub,3,4473,0xe240ac291c0,2142,"RecordWriteStub"
code-creation,Stub,3,4476,0xe240ac29a80,2100,"RecordWriteStub"
code-creation,Stub,3,4477,0xe240ac2a320,2117,"RecordWriteStub"
code-creation,Stub,3,4478,0xe240ac2abe0,251,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4479,0xe240ac2ad40,2130,"RecordWriteStub"
code-creation,Stub,3,4479,0xe240ac2b600,375,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4480,0xe240ac2b7e0,2076,"RecordWriteStub"
code-creation,Stub,3,4481,0xe240ac2c060,2142,"RecordWriteStub"
code-creation,Stub,3,4482,0xe240ac2c920,491,"StringAddStub"
code-creation,Stub,3,4483,0xe240ac2cb80,2088,"RecordWriteStub"
code-creation,Stub,3,4483,0xe240ac2d420,2125,"RecordWriteStub"
code-creation,Stub,3,4484,0xe240ac2dce0,2084,"RecordWriteStub"
code-creation,Stub,3,4485,0xe240ac2e580,215,"ArrayNoArgumentConstructorStub"
code-creation,Handler,4,4486,0xe240ac2e6c0,636,"An IC handler from the snapshot"
code-creation,Stub,3,4487,0xe240ac2e9a0,2126,"RecordWriteStub"
code-creation,Stub,3,4487,0xe240ac2f260,2109,"RecordWriteStub"
code-creation,Stub,3,4488,0xe240ac2fb00,2072,"RecordWriteStub"
code-creation,Stub,3,4489,0xe240ac30380,2130,"RecordWriteStub"
code-creation,Stub,3,4490,0xe240ac30c40,2125,"RecordWriteStub"
code-creation,Handler,4,4490,0xe240ac31500,552,"An IC handler from the snapshot"
code-creation,Stub,3,4491,0xe240ac317a0,2088,"RecordWriteStub"
code-creation,Stub,3,4492,0xe240ac32040,2129,"RecordWriteStub"
code-creation,Stub,3,4493,0xe240ac32900,1225,"RecordWriteStub"
code-creation,Stub,3,4493,0xe240ac32e40,269,"CEntryStub"
code-creation,Stub,3,4494,0xe240ac32fc0,2100,"RecordWriteStub"
code-creation,Stub,3,4495,0xe240ac33860,215,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4496,0xe240ac339a0,367,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,4497,0xe240ac33b80,636,"An IC handler from the snapshot"
code-creation,Stub,3,4497,0xe240ac33e60,2091,"RecordWriteStub"
code-creation,Stub,3,4498,0xe240ac34700,2130,"RecordWriteStub"
code-creation,Handler,4,4499,0xe240ac34fc0,132,"An IC handler from the snapshot"
code-creation,Stub,3,4500,0xe240ac350c0,2076,"RecordWriteStub"
code-creation,Stub,3,4501,0xe240ac35940,884,"RecordWriteStub"
code-creation,Stub,3,4501,0xe240ac35d20,331,"CallApiGetterStub"
code-creation,Stub,3,4502,0xe240ac35ee0,261,"MathPowStub"
code-creation,Stub,3,4503,0xe240ac36060,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4504,0xe240ac36200,2091,"RecordWriteStub"
code-creation,Stub,3,4505,0xe240ac36aa0,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4505,0xe240ac36be0,2134,"RecordWriteStub"
code-creation,Stub,3,4506,0xe240ac374a0,2126,"RecordWriteStub"
code-creation,Stub,3,4507,0xe240ac37d60,1207,"RecordWriteStub"
code-creation,Stub,3,4508,0xe240ac38280,2079,"RecordWriteStub"
